,year,sex,age,continent,iso_alpha,log_population,log_suicides/100k pop,log_gdp_per_capita ($),log_gini_index,log_unemployment,log_hdi,log_ppp
11676,2011,male,15-24,EU,ITA,14.925335087213078,1.8825138324965192,10.601895869017545,1.5230720431334743,1.1744755836260676,0.48464351474965905,0.44760943302607764
11677,2011,female,75+,EU,ITA,15.146970097728753,1.66392609771817,10.601895869017545,1.5230720431334743,1.1744755836260676,0.48464351474965905,0.44760943302607764
11678,2011,female,55-74,EU,ITA,15.780796072183954,1.6331544390514163,10.601895869017545,1.5230720431334743,1.1744755836260676,0.48464351474965905,0.44760943302607764
11679,2011,female,35-54,EU,ITA,16.036754784374335,1.4562867329399256,10.601895869017545,1.5230720431334743,1.1744755836260676,0.48464351474965905,0.44760943302607764
11680,2011,female,25-34,EU,ITA,15.089848811361419,0.9745596399981308,10.601895869017545,1.5230720431334743,1.1744755836260676,0.48464351474965905,0.44760943302607764
11681,2011,female,15-24,EU,ITA,14.876069931337675,0.9122827104766162,10.601895869017545,1.5230720431334743,1.1744755836260676,0.48464351474965905,0.44760943302607764
11682,2011,male,5-14,EU,ITA,14.867862828941128,0.1310282624064041,10.601895869017545,1.5230720431334743,1.1744755836260676,0.48464351474965905,0.44760943302607764
11683,2011,female,5-14,EU,ITA,14.810619494267625,0.06765864847381481,10.601895869017545,1.5230720431334743,1.1744755836260676,0.48464351474965905,0.44760943302607764
11684,2012,male,75+,EU,ITA,14.68360005221771,3.2714682749873716,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11685,2012,male,55-74,EU,ITA,15.690933862968306,2.7862450486872667,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11686,2012,male,35-54,EU,ITA,16.020283794568904,2.667228206581955,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11687,2012,male,25-34,EU,ITA,15.07394910414061,2.336986519711378,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11688,2012,male,15-24,EU,ITA,14.924604719360453,1.9315214116032138,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11689,2012,female,75+,EU,ITA,15.163493832095535,1.713797927758343,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11690,2012,female,55-74,EU,ITA,15.788000179484706,1.6882490928583902,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11691,2012,female,35-54,EU,ITA,16.040284800836798,1.5062971535145868,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11692,2012,female,25-34,EU,ITA,15.069453116184334,1.0784095813505903,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11693,2012,female,15-24,EU,ITA,14.874538280626014,0.9282193027394289,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11694,2012,female,5-14,EU,ITA,14.81557463004077,0.13976194237515868,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11695,2012,male,5-14,EU,ITA,14.871105040303183,0.1310282624064041,10.505012743548761,1.523675018056175,1.2401593521451637,0.48464351474965905,0.443607275244133
11696,2013,male,75+,EU,ITA,14.720239104645726,3.26918863874179,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11697,2013,male,55-74,EU,ITA,15.70816790005568,2.812410216426453,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11698,2013,male,35-54,EU,ITA,16.035482442376257,2.611539300721366,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11699,2013,male,25-34,EU,ITA,15.068508070380638,2.3767644911682972,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11700,2013,male,15-24,EU,ITA,14.931281131060505,1.7613002617433464,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11701,2013,female,75+,EU,ITA,15.187483860501219,1.7209792871670078,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11702,2013,female,55-74,EU,ITA,15.802075830474784,1.7173950539391927,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11703,2013,female,35-54,EU,ITA,16.05328679995159,1.5195132049061133,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11704,2013,female,25-34,EU,ITA,15.05945792584225,1.0647107369924282,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11705,2013,female,15-24,EU,ITA,14.877580569930185,0.9895411936137477,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11706,2013,male,5-14,EU,ITA,14.885575898959964,0.2151113796169455,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11707,2013,female,5-14,EU,ITA,14.827854829645869,0.13976194237515868,10.5200506209133,1.5218599667189137,1.2743627837263645,0.48464351474965905,0.43975806408718787
11708,2014,male,75+,EU,ITA,14.758049764617997,3.299902663510574,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11709,2014,male,55-74,EU,ITA,15.723346273779244,2.711377991194885,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11710,2014,male,35-54,EU,ITA,16.04511541190529,2.5710843460290524,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11711,2014,male,25-34,EU,ITA,15.06660155807059,2.2607208888953467,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11712,2014,male,15-24,EU,ITA,14.936198705172918,1.8779371654691073,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11713,2014,female,35-54,EU,ITA,16.061158459705673,1.5953389880545987,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11714,2014,female,75+,EU,ITA,15.212433485230305,1.5912739418064292,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11715,2014,female,55-74,EU,ITA,15.814470358109311,1.5539252025038417,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11716,2014,female,25-34,EU,ITA,15.052623123877488,1.1568811967920856,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11717,2014,female,15-24,EU,ITA,14.878476670535878,0.9516578757114464,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11718,2014,female,5-14,EU,ITA,14.837574000532207,0.22314355131420976,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11719,2014,male,5-14,EU,ITA,14.89671656580314,0.15700374880966475,10.519645691567938,1.520639635624533,1.2853504486886234,0.49001153030219996,0.4406266288710383
11720,2015,male,75+,EU,ITA,14.78878182119156,3.26880819361641,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11721,2015,male,55-74,EU,ITA,15.731815626564366,2.6905648867611904,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11722,2015,male,35-54,EU,ITA,16.03903988942651,2.5257286443082556,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11723,2015,male,25-34,EU,ITA,15.054408999411343,2.180417459019838,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11724,2015,male,15-24,EU,ITA,14.933111417184069,1.8357763546448291,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11725,2015,female,55-74,EU,ITA,15.821695149883471,1.6253112615903906,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11726,2015,female,75+,EU,ITA,15.230255340308057,1.5665304114228238,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11727,2015,female,35-54,EU,ITA,16.054828747638666,1.4838746894587547,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11728,2015,female,25-34,EU,ITA,15.037699732145018,1.0612565021243408,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11729,2015,female,15-24,EU,ITA,14.87144009419763,0.7793248768009976,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11730,2015,male,5-14,EU,ITA,14.895341917225117,0.2151113796169455,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11731,2015,female,5-14,EU,ITA,14.836310843530802,0.1988508587451652,10.358948446965533,1.5248749047536572,1.2689813880040595,0.49001153030219996,0.4402749903279552
11732,1990,male,15-24,NA,JAM,12.426873454765905,0.5877866649021191,7.6760099320288875,1.5560472075314404,1.3396746158583452,0.40395756180928344,0.8414723570346574
11733,1990,male,35-54,NA,JAM,12.171848628074887,0.41871033485818504,7.6760099320288875,1.5560472075314404,1.3396746158583452,0.40395756180928344,0.8414723570346574
11734,1990,female,15-24,NA,JAM,12.43331976567712,0.0,7.6760099320288875,1.5560472075314404,1.3396746158583452,0.40395756180928344,0.8414723570346574
11735,1990,female,25-34,NA,JAM,12.17193140996019,0.0,7.6760099320288875,1.5560472075314404,1.3396746158583452,0.40395756180928344,0.8414723570346574
11736,1990,female,35-54,NA,JAM,12.207861045389391,0.0,7.6760099320288875,1.5560472075314404,1.3396746158583452,0.40395756180928344,0.8414723570346574
11737,1990,female,5-14,NA,JAM,12.515793813106763,0.0,7.6760099320288875,1.5560472075314404,1.3396746158583452,0.40395756180928344,0.8414723570346574
11738,1990,female,55-74,NA,JAM,11.714673761429994,0.0,7.6760099320288875,1.5560472075314404,1.3396746158583452,0.40395756180928344,0.8414723570346574
