Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922246,0.924566,0.935415,0.938959,0.94254,0.939929,0.936118,0.931829,0.922801,0.923906,0.907226,0.922769,0.899797,0.889084,0.878806,0.881939,0.861176,0.869233,0.854424,0.843111,0.841548,0.831374,0.813648,0.797081,0.798797,0.798813,0.776931,0.772542,0.740694,0.741282,
Azerbaijan,AZE,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64E-06,1.36E-05,0.000154566,0.001279059,0.018610279,0.117690677,0.146108281,0.156906661,0.153662794,0.154750905,0.170277084,0.170812916,0.175239754,0.184021553,0.195776447,0.21781672,0.235370785,0.276391295,0.346952129,0.279253069,0.314204734,0.383509785,0.369043291,0.359447956,0.35480395,0.377257109,0.430901468,0.505471647,0.553575394,0.541783029,
Burundi,BDI,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.14825359,71.63783523,73.82513252,77.70021508,81.12595509,92.25500205,103.6901222,134.9562559,148.7354497,168.5441116,186.5851989,207.6239084,206.491778,226.9441969,250.046851,288.1829203,287.6779221,303.3302878,369.5950267,405.161464,434.7832581,461.5091248,527.0529785,539.3110962,547.0996094,570.6591187,585.8931885,654.895874,621.0958227,614.2739019,
Belgium,BEL,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915381,0.910908,0.921111,0.935723,0.935347,0.927321,0.929897,0.927803,0.935637,0.931348,0.899723,0.892244,0.8733,0.877016,0.889063,0.891788,0.87544,0.880041,0.86694,0.849484,0.835934,0.831911,0.822137,0.806166,0.800214,0.799998,0.781011,0.773165,0.741613,0.735893,
Benin,BEN,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.07062974,83.88506938,84.49709416,84.50455719,110.4582424,124.5257371,130.7333278,133.2305687,138.6402413,202.7353598,206.9107771,206.4589866,210.4678763,212.9569663,208.9701985,211.358967,209.4471932,204.7638306,213.780338,217.5511988,216.9396852,220.4335785,234.0041962,231.4772186,225.0442352,220.5238953,214.4338684,216.7736053,212.8667568,208.1482877,
Burkina Faso,BFA,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.439477,150.8914544,147.8643743,142.3595111,159.7873995,167.1005023,164.6680672,164.395805,175.4743518,203.0590152,196.9907148,200.3990037,203.309302,202.5660494,197.4343219,198.6299439,191.5176552,191.1559616,204.6840911,208.0219218,213.397739,223.1158142,238.978653,231.0792542,231.3259277,225.4159241,215.1966858,208.7572021,207.9361015,202.6846643,
Bangladesh,BGD,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54189366,13.4564594,13.49635735,13.20449514,13.44119359,14.10578414,14.43871672,14.73336074,15.25941617,15.61098846,15.79593203,15.9609707,16.32410153,16.95854502,17.26734345,17.51374311,17.99817772,18.66158441,19.74450854,20.92060886,22.1571298,23.40955544,23.78735161,24.96619797,25.81887817,27.28372955,28.4988308,29.73817444,30.65595845,31.41287192,
Bulgaria,BGR,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000691143,0.002183018,0.00340601,0.005027071,0.008500484,0.019646785,0.038280397,0.39832269,0.518766694,0.525165651,0.535800163,0.555721047,0.558289278,0.560403672,0.580729354,0.596499288,0.619052887,0.657230263,0.677681308,0.692689165,0.67642103,0.701074892,0.692813663,0.680007503,0.661227941,0.678701287,0.666665741,0.6741281,0.660981413,0.678323366,
Bahrain,BHR,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119323778,0.113247717,0.106812901,0.101183617,0.10633101,0.105283119,0.103593407,0.102786167,0.094468859,0.095598113,0.121551944,0.11494198,0.117015591,0.124764948,0.134847586,0.148735823,0.157132542,0.165930315,0.181262651,0.156516287,0.166225912,0.178678498,0.175509304,0.180676997,0.1838682,0.1867311,0.189881027,0.187117711,0.190497218,0.188021618,
"Bahamas, The",BHS,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.980501639,0.972675058,0.988144606,0.957050567,0.957500236,0.945360932,0.937499678,0.939373157,0.957242563,0.990332008,0.977607882,0.960011308,0.982494349,0.975717046,0.96148796,0.9795951,0.958693504,0.961130643,0.95682522,0.93974843,0.92528002,0.898563445,0.91523546,0.903084576,0.904266655,0.936313272,0.924120188,0.901406765,0.890462443,0.899882582,
Bosnia and Herzegovina,BIH,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659406545,0.703006239,0.572611434,0.636147008,0.619115367,0.66129911,0.684955745,0.704196041,0.715735982,0.717488885,0.714973017,0.723431435,0.719422182,0.731969993,0.752858794,0.734656677,0.731688447,0.718162098,0.705937888,0.686155378,0.687203279,0.694093036,0.675567653,0.678498039,0.65387846,0.655183883,
Belarus,BLR,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12E-09,1.65E-08,1.83E-07,2.07E-06,4.14E-05,0.000309008,0.000466448,0.000787084,0.001374368,0.005646749,0.015757401,0.027682782,0.039486042,0.050661626,0.060519888,0.069826756,0.075060676,0.082506654,0.098101039,0.106372948,0.11701939,0.196053222,0.320173144,0.373921454,0.448664755,0.525160432,0.563757062,0.609042823,0.666734273,0.697016594,
Belize,BLZ,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.317675192,1.234038656,1.254691611,1.245894616,1.263955268,1.313088678,1.315018306,1.273208507,1.278161556,1.231782535,1.210521233,1.180867524,1.182456151,1.128879076,1.121433713,1.118177569,1.137000153,1.157573761,1.166035751,1.12558477,1.12931303,1.151228309,1.23902154,1.264288425,1.312484026,1.318525076,1.342274308,1.375065088,1.33980031,1.316583997,
Bermuda,BMU,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872521833,0.898253409,0.902951758,0.927887623,0.926290395,0.945176354,1.200738632,1.227881717,1.247503798,1.26310129,1.183142963,1.141896761,1.220570026,1.23216547,1.256161897,1.30059546,1.330274257,1.380650274,1.423497607,1.427470666,1.44258238,1.396796823,1.459248185,1.441759467,1.43172729,1.419243693,1.39972508,1.366415858,1.355103417,1.370785956,
Bolivia,BOL,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947327698,1.07843461,1.193578864,1.242407614,1.313165347,1.433173281,1.570383492,1.631835317,1.727455288,1.743934939,1.794425549,1.788748117,1.810565525,1.890073694,1.987170441,2.04162862,2.252427154,2.355238341,2.550136424,2.469598791,2.655425685,2.98091197,3.04548192,3.033396721,3.017755508,2.94069767,2.834712029,2.748943567,2.765588797,2.694105126,
Brazil,BRA,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16E-05,5.75E-05,0.000600851,0.012333746,0.290164164,0.538560948,0.626496027,0.663477112,0.68840103,0.732962857,0.757127833,0.801815096,0.866669186,0.970763721,1.018595172,1.061232495,1.099839888,1.140034491,1.216451437,1.295539855,1.388488194,1.473216414,1.605704427,1.701276302,1.81320107,1.988814116,2.133081675,2.18155694,2.199647234,2.247383654,
Barbados,BRB,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.619005716,1.636444063,1.633939855,1.679047672,1.680271817,1.662486352,1.67403508,1.660746519,1.785192833,1.837803717,1.773838817,1.774914366,1.76313935,1.75030883,1.803758351,1.86590609,1.88835492,1.994091414,1.988556293,1.940260229,1.991140719,2.018887043,2.122737169,2.145609856,2.173118114,2.130779505,2.118868113,2.203005075,2.210317852,2.222566866,
Brunei Darussalam,BRN,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441102189,0.41456723,0.412329674,0.39089833,0.349185037,0.351839631,0.361022421,0.385370374,0.3366907,0.370378996,0.467398514,0.431791051,0.426658134,0.444450092,0.501553288,0.577681919,0.617052518,0.607643275,0.671704263,0.519355966,0.599047159,0.705206811,0.676012278,0.668107867,0.649697363,0.685113609,0.666354418,0.646853626,0.689677788,0.65397196,
Bhutan,BTN,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.560784364,6.902360179,7.375964508,7.795107102,8.61301307,9.115045698,9.672263223,10.6954523,11.68795456,12.37827202,11.97003488,12.34079609,12.7263277,12.87739037,13.00438496,13.35597372,13.66627934,13.70183536,14.18103119,14.74312736,15.4264788,16.39680481,17.1476078,18.13540268,18.67707062,18.58677483,18.83104706,19.20833969,19.08145334,18.9001287,
Botswana,BWA,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9645637,0.981320161,1.023155974,1.130054088,1.211137822,1.271144548,1.449414613,1.49595314,1.626749445,1.831871988,2.045734098,2.168233806,2.159815615,2.189543912,2.347036221,2.628292967,2.741738138,2.801581917,2.878096972,3.040912335,3.274011339,3.654658079,3.96378684,4.125849247,4.28442955,4.430125237,4.57505703,4.733849525,4.675212655,4.615553084,
